Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
FALTSCH. 0420 1E 281X157X73,281,73,157,158371,8,1E
KAT SCHUBER ZUSCHNITT WELLPAPP,282000,21000,212000,52005126,,keine
FALTSCH. 0420 1E 282X181X102,282,102,181,158377,,1E
FALTSCH. 282X272X108 1.1E,282,108,272,159540,1,1E
"CARTON BOX FOR UPS7,2/12AH",282000,135000,238000,187138,,keine
PAPERBOX 1E 0426 283X68X62 P,283,62,68,9500747,20,1E
PAPERBOX 0426 1E 283X68X62,283,62,68,1041028,,1E
PAPERBOX 0421 1E 283X68X62 BL,283,62,68,61584,16,1E
PAPERBOX 283X 68X 66 1.1E,283,66,68,169049,14,1E
PAPERBOX 284X64X40,284,40,64,9624842,,keine
PAPERBOX 287X134X74,287,74,134,138980,,keine
PAPERBOX 0420 1B 285X235X130BL,285,130,235,9501021,2,1B
SVI SCHIENENVERS. 285X285X1000,285,1000,285,9687220,not LHM,keine
PAPERBOX 0426 1E 287X66X41 P,287,41,66,1039271,28,1E
FALTSCH. 0420 1E 287X126X70,287,70,126,158190,8,1E
PAPERBOX 287X104X74,287,74,104,138979,15,keine
FALTSCH. 287X92X73 1.1E,287,73,92,159013,12,1E
FALTSCH. 290X 68X 50,290,50,68,9624642,,keine
PAPER BOX 289X204X69MM,289,69,204,194435,,keine
PAPERBOX 1E0426 289X187X163 BL,289,163,187,166515,2,keine
PAPERBOX 1B 0421 290X240X35 P,290,35,240,187777,8,1B
PAPERBOX 290X 68X 50 BLANK,290,50,68,9624651,,keine
PAPERBOX 0421 1E 292X109X66 P,292,66,109,1007943,10,1E
PAPERBOX 1B 0701 290X250X70 BL,290,70,250,1021027,4,1B
FALTBODENSCHACHTEL 290X250X70 MM,290,70,250,194385,,keine
FALTSCH. 290X 68X 78,290,78,68,9624643,,keine
FALTSCH. 290X 68X 78 BLANK,290,78,68,9624653,,keine
PAPERBOX 0426 1E 290X146X82 P,290,82,146,1018371,7,1E
PAPERBOX 290X250X88,290,88,250,1026371,,keine
PAPERBOX 0712 1B 290X205X113,290,113,205,,2,1B
FALTKARTON 1.20C  CO 11  290X200X120 MM,290,120,200,138410,,keine
VERSANDKARTON V3 (290X250X130),290,130,250,9631836,2,keine
PAPERBOX 0423 1E 293X160X65.5 P,293,65,160,1029672,,1E
PAPERBOX 0204 2EB 292X224X91 BL,292,91,224,1021391,2,keine
PAPERBOX 1E 0426 295x90x47 BL,295,47,90,1030206,,1E
PAPERBOX 1E 0426 295x90x47 P,295,47,90,1030209,,1E
CARTON BOX FOR IP67,293000,73000,217000,,,keine
PAPERBOX 0426 1E 293X187X89,293,89,187,1038447,2,1E
PAPERBOX 0421 1B 284X135X114 P,284,114,135,1037227,,1B
QUINT UPS BAT 12AH BOX,294000,136000,264000,1042783,,keine
FALTSCH. 294X 80X392 2.3E,294,392,80,9500226,2,keine
PAPERBOX 0427 1B 295X248X86,295,86,248,1039877,,1B
PAPERBOX 0201 1E 295X195X140 BL,295,140,195,1021194,2,1E
FALTSCH. 296X255X118 1.1E,296,118,255,159542,2,1E
PAPERBOX 1E 0426 297X187X35 BL,297,35,187,116510,8,1E
PAPERBOX 0426 1E 297X187X35 P,297,35,187,180366,8,1E
PAPERBOX 0423 1B 297X197X40 BL,297,40,197,9001823,8,1B
PAPERBOX 0XXX 1B 309X242X84 BL,309,84,242,195843,4,1B
PAPERBOX 0301 297X397X297 BL,297,297,397,201574,not LHM,keine
PAPERBOX 0426 1E 297X56X47 P,297,47,56,1036383,33,1E
PAPERBOX 0426 1E 298X93X52,298,52,93,1866891,,1E
COIL DISC 9BCE 300X300 P,300000,28000,300000,161427,not LHM,keine
PAPERBOX 0427 1E 300X183X55 BL,300,55,183,1003168,6,1E
PAPERBOX 0201 1E 300X200X117BL,300,117,200,186010,2,1E
PAPERBOX 0201 1B 300X250X120 BL,300,120,250,9502211,2,1B
PAPERBOX 0201 2BA 300X250X150 BL,300,150,250,198503,2,keine
FALTSCH. 302X 57X 47 BLANK,302,47,57,9621244,,keine
FALTSCH. 302X 57X 47,302,47,57,9621862,,keine
PAPERBOX 0421 1EB 303X250X171 BL,303,171,250,1032432,PXCPS,keine
FALTSCH. 303 X 82 X 26,303,26,82,162611,40,keine
PAPERBOX 0426 1E 305X38X50 P,305,50,38,1017253,42,1E
PAPERBOX 1E 0426 305X103X52 P,305,52,103,9500323,15,1E
PAPERBOX 1E 0420 305X103X53 P,305,53,103,172226,15,1E
PAPERBOX 0426 1E 305X103X52,305,52,103,1039366,15,1E
PAPERBOX 0426 1E 305X103X59 BL,305,59,103,9796742,not LHM,1E
PAPERBOX 1E 0426 305X103X59 P,305,59,103,9500310,13,1E
PAPERBOX 0426 1E 305X103X59 S,305,59,103,143329,13,1E
PAPERBOX 0426 1E 305X103X59,305,59,103,1041027,,1E
PAPERBOX 0420 1E 305X126X59 BL,305,59,126,61587,8,1E
PAPERBOX 0420 1E 305X126X59 P,305,59,126,9501584,8,1E
PAPERBOX 0426 1E 305X126X59 S,305,59,126,143334,8,1E
ESA470 DELIVERYBOX 305X215X70,305,70,215,1036126,4,keine
PAPERB.0201 2EB 305X305X147 BL,305,147,305,125386,not LHM,keine
PAPERBOX 0427 1E 306X92X28,306,28,92,1039981,25,1E
CARTON BOX FOR CAP 16KJ,306000,153000,206000,1257678,,keine
PAPERBOX 307X54X40,307,40,54,9624840,,keine
PAPERBOX 0420 1E 305X126X59,305,59,126,1634739,,1E
PAPERBOX BOTTOM 0306 1B 307X356X102 BL,307,102,356,1027012,1,1B
PAPERBOX BOTTOM 0306 1B 307X356X210 BL,307,210,356,1026999,not LHM,1B
KAT.VERPACKUNG F.SCHUBER 2002,307000,232000,129000,5143302,,keine
PAPERB.0215 2EB 307X175X330 BL,307,330,175,145187,,keine
PAPERBOX COVER 0306 1B 308X358X60 BL,308,60,358,1027013,2,1B
FALTSCH. 308 X 80 X 65,308,65,80,162612,16,keine
PAPERBOX 0421 1B 308X173X66 P,308,66,173,177486,not LHM,1B
PAPERBOX 0421 1E 310X33X25 BL,310,25,33,119495,6,1E
PAPERBOX B2150 GD2 310X225X50 S,310,50,225,69088,6,keine
PAPERBOX 312*100*53 2,312,53,100,9636022,,keine
PAPERBOX 1E 0713 310X98X77 BL,310,77,98,9636023,10,1E
PAPERBOX 0426 1E 310X105X96 P,310,96,105,1039301,5,1E
DELIVERYBOX 0201 1B 310X215X140,310,140,215,1040942,,1B
DELIVERYBOX FS030 310X215/140X85MM A4,310000,140000,215000,,,keine
DELIVERYBOX 0201 1B 310X215X250,310,250,215,1040943,,1B
PAPERBOX 0426 1E 311X164X54 P,311,54,164,1034792,10,1E
PAPERBOX 0421 1E 311X115X57 BL,311,57,115,177485,12,1E
PAPERBOX 423 1E 316X158.5X80 P,311000,78000,78000,1029665,,1E
PAPERBOX 0201 311X127X177 BL,311,177,127,201602,4,keine
PAPERBOX 0420 1E 312X112X52 BL,312,52,112,116603,15,1E
PAPERBOX 1E 0426 312X112X52 P,312,52,112,9500161,15,1E
PAPERBOX 0427 1E 312X83X62,312,62,83,1039979,16,1E
PAPERBOX 0423 1E 312X133X80.5 P,312,80,133,1029670,,1E
FALTSCH. 0420 1E 312X140X96,312,96,140,158431,5,1E
Paperbox of 310 X 131 X 40 (C-SIS-ECB-HOOD-SET-L),310,40,131,1035726,,keine
PAPERBOX 0421 1E 313X87X42 S,313,42,87,143337,18,1E
PAPERBOX 1E 0420 313X48X47 P,313,47,48,173550,27,1E
PAPERBOX 1E 0402A 313X51X47 P,313,47,51,166974,27,1E
PAPERBOX 1E 0420A 313X51X47 SE,313,47,51,172681,33,1E
PAPERBOX 1E 0402A 313X66X47 P,313,47,66,166978,21,1E
PAPERBOX 1E 0402A 313X66X47 SE,313,47,66,166980,25,1E
PAPERBOX 1E 0402A 313X58X49 P,313,49,58,166975,24,1E
PAPERBOX 1E 0402A 313X58X49 SE,313,49,58,166977,26,1E
PAPERBOX 1E 0420A 313X58X75 P,313,75,58,166982,16,1E
PAPERBOX 315X147X99,315,99,147,139154,5,keine
PAPERBOX 315X188X99,315,99,188,139155,2,keine
FALTSCH. 313X180X96 1.1E,313,96,180,159076,2,1E
Paperbox of 310 X 132.5 X 39.5 ?C-SIS-MCB-HOOD-SET),313000,137000,137000,1035725,,keine
CORRUGATED PACKAGE FOR AI/AO/PCMZ/PI/RTD/SSR,314000,150000,211000,187496,,keine
PAPERBOX 0201 314X269X231 BL,314,231,269,201585,not LHM,keine
PAPERBOX 0426 1E 315X60X42 S,315,42,60,143336,32,1E
PAPERBOX 0426 1E 315X60X42 P,315,42,60,1038550,32,1E
SVA SCHIENENVERS. 315X305X1050,315,1050,305,9687233,not LHM,keine
PAPERBOX 203X190X110,203,110,190,139161,2,keine
PAPERBOX 203X308X120,203,120,308,139171,2,keine
PAPERBOX 0426 1E 316X89X50 P,316,50,89,9501487,15,1E
PAPERBOX 503X285X105,503,105,285,139163,15,keine
PAPERBOX 184X188X105,184,105,188,139157,2,keine
PAPERBOX 234X188X106,234,106,188,139158,2,keine
PAPERBOX 284X188X105,284,105,188,139159,2,keine
PAPERBOX 184X288X110,184,110,288,139167,,keine
PAPERBOX 495X147X104,495,104,147,139164,3,keine
PAPERBOX 284X288X110,284,110,288,139169,1,keine
PAPERBOX 258X308X120,258,120,308,139172,2,keine
PAPER BOX 322 X 68 X 50,322,50,68,9604232,,keine
FALTSCH. 320X 68X 47 BLANK,320,47,68,9621202,,keine
PAPERBOX 1E 0420A 316X70X65 P,316,65,70,165824,16,1E
PAPERBOX 1E 0420A 316X70X65 SE,316,65,70,165826,16,1E
PAPERBOX 0423 1E 316X207X78.5 P,316,78,207,1029673,,1E
PAPERBOX 1E 0426 317X74X53 P,317,53,74,9500640,21,1E
PAPERBOX 0423 1E 317X74X53 BL,317,53,74,61589,21,1E
PAPERBOX 0426 1E 317X83X69 S,317,69,83,143332,14,1E
PAPERBOX 1E 0426 317X83X69 BL,317,69,83,9500682,14,1E
PAPERBOX 0420 1E 317X83X69 BL,317,69,83,61590,12,1E
"BOX, 12.5 X 1 X 1",5,1,1,128464,114,keine
PAPERBOX 1E 0426 315X64X48 BL,315,48,64,9500284,26,1E
PAPERBOX FOR ISOSUB/CS1811,318000,143000,197000,1092770,,keine
TIANSHAN-PACKAGE2,318000,149000,173000,1339869,,keine
FALTSCH. 320X 68X 47,320,47,68,9621846,,keine
PAPERBOX 0421 1B 316X186X47 P,316,47,186,1037228,,1B
PAPERBOX 0427 1E 320X130X90 P,320,90,130,1034912,8,1E
PAPERBOX 0713 1E 320X106X100 BL,320,100,106,1021974,5,1E
PAPERBOX 04231E 321X277X101 BL,321,101,277,159535,1,keine
PAPERBOX 0427 1B 322X250X40 BL,322,40,250,1039496,,1B
PAPERBOX 0427 1B 322X250X80 BL,322,80,250,1037013,4,1B
FALTSCH. 0420 1E 325X188X74,325,74,188,158372,4,1E
VERSANDKARTON V2 (325X120X 80),325,80,120,9631933,8,keine
PAPER BOX 325X180X110,325,110,180,1027004,,keine
PAPER BOX 330X128X157,330,157,128,,,keine
PAPERBOX 0423 1E 330X87X76 P,330,76,87,1020853,14,1E
PAPERBOX 0202 1C 330X229X106 BL,330,106,229,1033986,not LHM,keine
PAPERBOX 0420 1B 330X175X65 BL,330,65,175,9001384,8,1B
V300 DELIVERYBOX 330X255X155,330,155,255,1002737,not LHM,keine
PAPERBOX 0426 1E 330X175X53.5 BL,330,53,175,1034227,9,1E
FALTSCH.4254  332X 70X29MM,332,29,70,60004,37,keine
FALTSCH.3949  332X190X29MM,332,29,190,60003,10,keine
PAPERBOX 0427 2EB 332X332X88,332,88,332,1032436,,keine
PAPERBOX 0427 2EB 332X332X133,332,133,332,1032435,,keine
PAPERB. 0471 1B 330X210X100 BL,330,100,210,125566,2,1B
PAPERBOX FIX 1B 165X200X67,165,67,200,176099,not LHM,1B
PAPER BOX 336X156X142,336,142,156,1328269,,keine
PAPERBOX 0427 1E 335X155X224BL,335,224,155,197701,2,1E
PAPERBOX 0201 1C 335X235X335 BL,335,335,235,1040786,,keine
PAPERBOX 0426 1E 336X67X40 P,336,40,67,1039272,28,1E
PAPERBOX 0423 1E 338X59X76 P,338,76,59,1020852,21,1E
PAPERBOX 0201 1B 340X175X35,340,35,175,1906868,,1B
INLAY 0901 1B 340X250X40 BL,340,40,250,1029855,not LHM,1B
PAPERBOX 0426 1E 340X116X52 P,340,52,116,1034793,14,1E
PAPERBOX 0201 1C 340X340X130 BL,340,130,340,1013255,1,keine
PAPERBOX 342X54X50,342,50,54,9624845,,keine
PAPERBOX 0426 1E 342X110X52,342,52,110,1038479,14,1E
PAPERBOX 0427 1E 343X250X55 BL,343,55,250,1003170,3,1E
PAPERBOX 0420 1E 343X252X61 BL,343,61,252,144370,4,1E
PAPERBOX 1E 0426 343X252X61 P,343,61,252,9053120,4,1E
PAPER BOX FOR SG 10 POLE SOCKET,345000,49000,208000,1668884,,keine
PAPERBOX 0215 1B 345X200X105 BL,345,105,200,,2,1B
PAPERBOX 0423 1E 350X87X76 P,350,76,87,1020854,14,1E
CORRUGATED PACKAGE FOR PCC,348000,115000,246000,187490,,keine
KARTON (348X182X124),348,124,182,9033791,2,keine
PAPERBOX 1B 0713 348X270X158 P,348,158,270,9500996,2,1B
PAPERBOX 349X84X45,349,45,84,9624835,,keine
PAPERBOX 0XXX 2BC361X307X142BL,361,142,307,195842,1,keine
"BOX 349,25 X 292,1 X 190,5",349000,191000,292000,140952,,keine
FALTSCH. 350X350X 70,350,70,350,9501814,,keine
PAPERBOX 0427 1B 350X342X114 Comfort,350,114,342,1039307,1,1B
PAPERBOX 0427 1B 350X342X114 ECO,350,114,342,1039308,1,1B
PAPERBOX 0427 1B 350X342X114 BL,350,114,342,1039506,1,1B
PAPERBOX 0427 1B 350X342X114 COMFORT BLS,350,114,342,1040119,,1B
PAPERBOX 0703 1B 350X250X134,350,134,250,1882155,,1B
PAPERBOX 0201 2BC 350X350X160 BL,350,160,350,1025477,not LHM,keine
CARDBOARD BOX 300X350X250 MM,300,250,350,1661811,,keine
PAPERBOX 0421 1E 352X56X47 P,352,47,56,1036168,31,1E
PAPERBOX 0426 1E 335X38X71 P,335,71,38,1017252,28,1E
PAPER BOX 356 X 110 X 92,356,92,110,9604177,,keine
PAPERBOX 1B 0400 355X210X100 BL,355,100,210,9447936,1,1B
PAPERBOX 0420 1B 355X210X150BL,355,150,210,9007438,1,1B
PAPERBOX 1B 0444 355X215X165 BL,355,165,215,9003108,1,1B
PAPERBOX 0426 1B 356X96X87 S,356,87,96,143326,6,1B
PAPERBOX 1B 0426 356X96X87 P,356,87,96,9500213,6,1B
FALTSCH. 356X 96X 87 1.2B (BLANCO),356,87,96,6262342,not LHM,keine
PAPERBOX 1B 0427 358X123X80 BL,358,80,123,190676,4,1B
PAPERBOX 1B 0427 358X163X80 BL,358,80,163,188790,4,1B
PAPERBOX 1E 0426 360X103X52 P,360,52,103,9500336,9,1E
PAPERBOX 0420 1E 360X103X52 BL,360,52,103,62232,15,1E
PAPERBOX 1E 0426 360X112X52 P,360,52,112,9500174,9,1E
PAPERBOX 1E 0426 360X131X103 BL,360,103,131,9500200,3,1E
FALTKISTE 230EB LASCHENKLEBUNG 360X280X195MM,360,195,280,138405,,keine
DELIVERYBOX 0201 1B 360X255X220,360,220,255,1040944,,1B
PAPERBOX 0426 1E 364X40X50 P,364,50,40,1017250,26,1E
FALTSCH. 364X 59X 47 BLANK,364,47,59,9621189,,keine
FALTSCH. 364X 59X 47,364,47,59,9621820,,keine
PAPERBOX 364X64X40,364,40,64,9624844,,keine
PAPERBOX 0423 1E 362X58X50 P,362,50,58,1021744,15,1E
PAPER BOX  362 X 92 X 57,362,57,92,9604041,9,keine
PAPER BOX 360X140X110,360,110,140,196283,,keine
B3 DELIVERYBOX 365X265X115,365,115,265,1019873,1,keine
PAPERBOX 0426 1B 365X360X129,365,129,360,1892870,,1B
PAPERBOX 367X54X40,367,40,54,9624841,,keine
TIANSHAN-PACKAGE1,368000,46000,200000,1339871,,keine
PAPER BOX 366 X 125 X 114,366,114,125,9604371,,keine
PP210 DELIVERYBOX 370X240X112,370,112,240,1037767,1,keine
PP200 EB DELIVERYBOX 370X240X112,370,112,240,1019859,1,keine
PP310 DELIVERYBOX 370X240X172,370,172,240,1037768,1,keine
PP300 B DELIVERYBOX 370X240X172,370,172,240,1019861,not LHM,keine
PP410 DELIVERYBOX 370X240X230,370,230,240,1037769,not LHM,keine
PP400 B DELIVERYBOX 370X240X230,370,230,240,1019862,not LHM,keine
PAPERBOX 370X235X230 S,370,230,235,9604562,,keine
FALTSCH. 0420 1E 372X127X73,372,73,127,158373,8,1E
KARTON S3 (380X275X290),380,290,275,9660429,not LHM,keine
PAPERBOX 1E 0426 376x90x47 P,376,47,90,1030208,,1E
FALTSCH. 374X98X72 1.1E,374,72,98,159015,7,1E
TVP SE S02 UT 374X273X135,374,135,273,9799914,not LHM,keine
TVP SE S03 UT 374X273X285,374,285,273,145194,not LHM,keine
PAPERBOX 0427 1E 375X375X37 P,375,37,375,1033105,not LHM,1E
PAPERBOX 0423 1E 375X134X74 P,375,74,134,138984,,1E
PAPERBOX 378X188X110,378,110,188,139160,1,keine
PAPERBOX 378X308X120,378,120,308,139170,1,keine
FALTSCH. 377X177X105 1.1E,377,105,177,159089,1,1E
BAHNKARTON B4 (377X250X285),377,285,250,9502088,,keine
PAPER BOX 400X278X90,400,90,278,9625195,,keine
KARTON B 378X189X88MM F201 WEST 1107 B,378,88,189,1025497,2,keine
TVP SE S01 UT 380X127X139,380,139,127,145190,not LHM,keine
KARTON C 378X189X183MM F201 WEST 1107 B,378,183,189,1025496,not LHM,keine
PP LID 200/400 379X249X50,379,50,249,1019863,3,keine
PP LID 210/310/410 379X249X50,379,50,249,1037758,3,keine
383X200X57-5POLE SOCKET PAPER BOX,383,57,200,1547792,,keine
DD21H 0.85-PACKING BOX,380000,28000,204000,1504632,,keine
PAPERBOX 0423 1E 383X132X44.5 P,383,44,132,1029669,,1E
PAPERBOX 0421 1E 380X390X90 BL,380,90,390,1036073,not LHM,1E
PAPERBOX 0421 1E 380X390X90 S ECO,380,90,390,1036905,not LHM,1E
PAPERBOX 0421 1E 380X390X90 S,380,90,390,1035241,not LHM,1E
PAPERBOX 0421 1E 380X390X110 S,380,110,390,1035242,not LHM,1E
PAPERBOX 0421 1E 380X390X110 BL,380,110,390,1036072,not LHM,1E
PAPERBOX 0421 1E 380X390X110 BL/S,380,110,390,1037997,not LHM,1E
PAPERBOX 0201 2BC 380X380X300 BL,380,300,380,,,keine
PAPERBOX 387X109X60,387,60,109,9624820,,keine
KARTON D 384X284X183MM F201 WEST 1110 B,384,183,284,1025495,not LHM,keine
PAPERBOX 1B 0713 385X185X225 S,385,225,185,9736032,not LHM,1B
PAPERBOX 0427 1B 385X340X129,385,129,340,1040867,,1B
PAERBOX 0701 385X285X200 S MERCH,385,200,285,1038619,not LHM,keine
PAPERBOX 0713 1B 385X190X235 S,385,235,190,9049664,not LHM,1B
PAPERBOX 0201 2BC 385X350X260,385,260,350,187255,not LHM,keine
PAPERBOX 0201 2BC 385X385X260 BL,385,260,385,1036904,not LHM,keine
S400 DELIVERYBOX 385X380X293,385,293,380,1026209,not LHM,keine
PAPERBOX 2.30EB_386X386X150,386,150,386,174488,,keine
PAPER BOX-DIKD-24PIN-B,387000,116000,121000,9625115,,keine
CORRUGATED PACKAGE FOR SBD,389000,197000,306000,187494,,keine
PAPERBOX 390X250X88,390,88,250,1026370,,keine
PAPERBOX 1E 0426 170X89X54 BL,170,54,89,9006011,34,1E
PAPERBOX 0227 1B 390X182X97 BL,390,97,182,1037235,,1B
PAPERBOX 0211 1B 390X290X98 S,390,98,290,9661228,1,1B
1/2 STANDARD CARTON397X245X135,397,135,245,9620067,,keine
VERSANDKARTON V5 (390X250X155),390,155,250,9503812,1,keine
VERSANDKARTON V4 (390X250X285),390,285,250,9631823,not LHM,keine
V400 DELIVERYBOX 390X255X285,390,285,255,1002738,not LHM,keine
DELIVERYBOX DANGEROUS GOODS-1 400X400X440,400,440,400,116290,,keine
PAPERBOX 0426 1E 148X106X30 BL,148,30,106,9010079,55,1E
PAPERBOX 0426 1E 392X67X40 P,392,40,67,1039259,16,1E
FALTSCH. 392X126X109 1.1E,392,109,126,161292,3,1E
TVP SE S03 OT 393X291X48,393,48,291,145195,not LHM,keine
TVP SE S01 OT 393X140X58,393,58,140,145191,not LHM,keine
KARTON E 394X294X261MM F201 WEST 1107 B,394,261,294,1025494,not LHM,keine
PAPER BOX 404X249X271,404,271,249,9625212,,keine
PAPERBOX 0426 1B 397X282X123 BL,397,123,282,1026655,1,1B
PAPERBOX FIX 1B 400X250X30 BL,400,30,250,1003683,2,1B
PAPERBOX 1E 0426 400X64X51 P,400,51,64,9500378,12,1E
PAPERBOX 0201 1E 400X300X120 BL,400,120,300,186011,1,1E
B5 DELIVERYBOX 400X250X210,400,210,250,1019874,not LHM,keine
DELIVERYBOX DANGEROUS GOODS 405X238X285,405,285,238,1040897,,keine
CARTON BOX FOR KC 10A,405000,300000,286000,1260361,,keine
PAPERBOX 0201 1C 406X305X203,406,203,305,1039976,not LHM,keine
PS IP67 PACKING BOX,407000,163000,239000,1100298,,keine
PAPERBOX 0427 1B 410X210X85,410,85,210,179615,2,1B
CARTON 412X291X245,412,245,291,9624662,,keine
PAPERBOX 0422 1B 416X317X60 BL,416,60,317,9001825,,1B
PAPERBOX 0420 1B 410X102X60 P,410,60,102,180543,5,1B
PAPERBOX 1E 420 113X100X27 BL,113,27,100,9042843,88,1E
PAPERBOX 0420 1B 255X140X110 BL,255,110,140,162614,4,1B
PAPERBOX 0423 1E 420X235X130BL,420,130,235,9501018,1,1E
PAPERBOX 0426 1E 390X38X71 P,390,71,38,1017255,16,1E
DELIVERYBOX 0201 1B 430X310X220,430,220,310,1040945,,1B
FALTKARTON 2.50BC  CO 12  430X310X290MM,430,290,310,138407,,keine
Paperbox of 204.3 X 42.7 X 121.7 (C-SIS-CM-M-CUP-SET CM housing),434000,139000,206000,1035729,,keine
Paperbox of 179.7 X 85.7 X 68.4 (5 parts shared),435000,73000,186000,1035730,,keine
PAPERBOX 0427 436X253X152 S,436,152,253,195063,,keine
PAPERBOX 0426 1E 440X38X71 P,440,71,38,1017203,16,1E
CARDBOARD BOX 448MMX396MMX236MM,439000,214000,377000,9621037,,keine
PAPERBOX 0201 439X319X300 BL,439,300,319,201603,not LHM,keine
B4 DELIVERYBOX 440X330X220,440,220,330,1019872,not LHM,keine
DELIVERYBOX 0201 1B 440X310X320,440,320,310,1040947,,1B
BOX 17-1/2 X 9 X 7,2,7,9,193546,,keine
PAPERBOX 0201 447X257X187 BL,447,187,257,201601,not LHM,keine
PAPERBOX 0201 2BC 448X376X221 S,448,221,376,1909880,,keine
OUTER CARTONBOX 452X212X212,452,212,212,9077451,,keine
FALTKARTON 2.90C  CON 2  450X345X120MM,450,120,345,138408,,keine
PAPERBOX 0426 1B 452X287X80,452,80,287,1038545,2,1B
PAPERBOX 0426 1E 454X153X30 BL,454,30,153,1030465,10,1E
PAPERBOX 0426 1E 113X100X36 BL,113,36,100,9052332,60,1E
PAPERBOX 1E 0420 454X153X37 P,454,37,153,174923,8,1E
PAPERBOX 0427 1E 455X200X108 BL,455,108,200,1004649,1,1E
FALTSCH. (455X335X130) [MAG),455,130,335,109712,1,keine
PAPERBOX 0200 2BC 455X350X300 BL,455,300,350,1036086,not LHM,keine
FALTSCH. 150X151X 85 BLANK,150,85,151,9053429,not LHM,keine
PAPERBOX 0201 2BC 458X389X242 MERCH,458,242,389,1039127,not LHM,keine
PAPERB.0201 2BC 460X310X147 BL,460,147,310,125387,not LHM,keine
PAPERBOX 0201 1C 460X432X327 BL,460,327,432,1025296,not LHM,keine
CORRUGATED PACKAGE FOR 3DI/3DI-S/AI-S/PI-S/RTRM,461000,150000,212000,187495,,keine
CORRUGATED RUNNER 600X88X110,600,110,88,189641,not LHM,keine
PAPERBOX 1E 0426 123X113X48 BL,123,48,113,9425848,42,1E
PAPER BOX 460X180X110,460,110,180,196285,,keine
SP VERPACKUNG THERMOMARK CARD SET,472000,452000,385000,52006771,,keine
SP VERPACKUNG THERMOMARK  ROLL SET,472000,452000,385000,52006773,,keine
PAPERBOX 2.30EB_486X386X200,486,200,386,174489,,keine
DELIVERYBOX 0201 2AB 488X250X155 BL,488,155,250,1012119,not LHM,keine
PAPERBOX 0421 1B 490X115X26 BL,490,26,115,1025699,12,1B
FALTSCH. 0420 1E 491X137X99,491,99,137,158378,3,1E
"BOX, 19 3/8 X 8 1/4 X 4 3/4",492000,121000,210000,146380,,keine
FALTSCH. 493X181X102 1.1E,493,102,181,159091,1,1E
PAPERBOX 495X188X104,495,104,188,139165,1,keine
PAPERBOX 0201 2BC 500X500X250 BL,500,250,500,1037384,not LHM,keine
PAPERBOX 1E 0420 518X45X23 BL,518,23,45,9500051,43,1E
PAPER BOX 515X185X125,515,125,185,9625302,,keine
PAPERBOX 0447 1E 520X45X35 BL,520,35,45,1038186,32,1E
CARDBOARD BOX 510*530*350 MM,510,350,530,193582,,keine
PAPERBOX 0452 1B 525X213X155 BL,525,155,213,9006184,not LHM,1B
FALTKARTON 2.50BC  272  525X400X450MM,525,450,400,138406,,keine
PAPERBOX 0427 1B 530X240X85,530,85,240,179614,not LHM,1B
PAPERBOX 0420 1E 530X131X103,530,103,131,9050013,3,1E
PAPERBOX 0201 2BC 534X386X160 P,534,160,386,1040918,,keine
PAPERBOX 0713 1E 540X130X141 BL,540,141,130,1034567,2,1E
POSTKARTON MBK  (540X150X135),540,135,150,9502240,2,keine
PAPERBOX 0201 1B 540X170X135BL,540,135,170,191541,2,1B
PAPERBOX 0201 1B 540X220X135BL,540,135,220,194893,1,1B
PP510 DELIVERYBOX 541X341X182,541,182,341,1037770,not LHM,keine
PP610 DELIVERYBOX 541X341X317,541,317,341,1037771,not LHM,keine
B9 DELIVERYBOX 545X335X255,545,255,335,1019875,not LHM,keine
PAPERBOX 0201 2BC 545X460X260,545,260,460,187257,not LHM,keine
DELIVERYBOX 0201 1B 550X330X380,550,380,330,1040946,,1B
DELIVERYBOX FS080 550X330X380MM/300,550,380,330,7201606,,keine
PAPERBOX 0201 2BC 552X480X250BL,552,250,480,9677560,not LHM,keine
PAPERBOX 1B 0427 553X171X106BL,553,106,171,167191,3,1B
PAPERBOX 0427 1E 555X66X75 P,555,75,66,1037718,not LHM,1E
PP LID 510/610 556X356X80,556,80,356,1037759,not LHM,keine
BAHNKARTON BK (560X345X 92),560,92,345,9502237,,keine
PAPERBOX FOR JB AL D ISOLATOR PANEL/CS1756,562000,699000,371000,1174125,,keine
PAPER BOX 564X375X256,564,256,375,9625213,,keine
CORRUGATED PACKAGE FOR MTSP,566000,100000,212000,187488,,keine
PAPERBOX 0201 2BC 568X358X201 S,568,201,358,1035417,not LHM,keine
TVP SE S04 UT 574X373X285,574,285,373,145196,not LHM,keine
PAPERBOX 0700 2EB 575X375X205 BL,575,205,375,1036066,not LHM,keine
PAPERBOX 0427 1B 580X580X42,580,42,580,1039941,not LHM,1B
PAPERBOX 0201 2EB 580X340X220,580,220,340,1038472,not LHM,keine
DELIVERYBOX 0201 1C 580X380X270,580,270,380,1041108,,keine
KARTON (580X498X360),580,360,498,9736964,not LHM,keine
EXPORT CARTON 590X390X320,590,320,390,9620119,not LHM,keine
PAPERBOX 0701 585X385X129 S MERCH,585,129,385,1038635,not LHM,keine
V550 DELIVERYBOX 585X385X198,585,198,385,1002739,not LHM,keine
V600 DELIVERYBOX 586X386X317,586,317,386,1002743,not LHM,keine
PAPERBOX LID 0700 1B 586X386X80 BL,586,80,386,1036065,not LHM,1B
