Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBOX 1E 0426 113X79X24 BL,113,24,79,9500394,114,1E
PAPERBOX 1E 0420 115X108X32 SE,115,32,108,180780,57,1E
PAPERBOX 0426 1E 114X47X41.5 P,114,41,47,1033143,114,1E
PAPERBOX 0426 1E 114X65X41.5 P,114,41,65,1033144,84,1E
PAPERBOX 0426 1E 114X83X41.5 P,114,41,83,1033145,72,1E
PAPERBOX 0426 1E 114X119X41.5 P,114,41,119,1033148,48,1E
PAPERBOX 1E 0713 115X135X75 WH,115,75,135,94921,17,1E
PAPERBOX 1E 0713 115X135X75 P,115,75,135,9503634,17,1E
PAPERBOX 1E 0713 115X96X90 P,115,90,96,9631726,15,1E
PAPERBIN 1E 0713 115X96X92 P,115,92,96,56568,30,1E
BOX 116 X 100 X 32,116,32,100,195961,,keine
PAPERBOX 0427 1B 116X116X35,116,35,116,1039942,42,1B
PAPERBOX A2120 GZ 116X150X86 S,116,86,150,1010587,20,keine
VERP. THERMOMARK CARD,116500,170000,29500,52006572,,keine
PAPERBOX A1020 GD2 117X166X13P,117,13,166,124286,118,keine
PAPERBOX 1E 0426 117X113X26 BL,117,26,113,9501241,78,1E
PAPERBOX 1E 0426 117X35X38 P,117,38,35,9007563,138,1E
PAPERBOX 0713 1E 117X94X65,117,65,94,1039130,37,1E
PAPERBOX ECA035 400g/qm GD 2 117X10X166,117,166,10,1033466,178,keine
PAPERBOX 0427 1E 118X115X15,118,15,115,1905416,,1E
PAPER BOX (118X85X25),118,25,85,74073,,keine
PAPER BOX 123X118X140,123,140,118,172198,,keine
FALTSCH. 120 X 125 X 25,120,25,125,125540,,keine
PAPERBOX 1B 0713 120X120X115 P,120,115,120,9501513,8,1B
PAPEREGB 1E 0421 121X72X16 BL,121,16,72,9003348,168,1E
PAPEREGB 1E 0701 121X73X57 BL,121,57,73,9003349,44,1E
PAPERBOX 1E 0421 122X79X57 BL,122,57,79,121005,44,1E
PAPERBOX 0713 1E 122X114X75 BL,122,75,114,9003854,24,1E
PAPERBOX 0713 1B 122X108X90 P,122,90,108,1037379,15,1B
 PAPERBOX 0713 1B 122X108X90 P,122,90,108,1028545,12,1B
PAPERBIN 1B 0713 121X86X115 BL,121,115,86,56581,16,1B
PAPERBOX 1B 0713 121X86X115 BL,121,115,86,9501526,16,1B
FALTSCH.EGB 122X114X120  BLANK,122,120,114,9032187,12,keine
PAPERBOX 1E 0426 123X113X25 BL,123,25,113,9044751,72,1E
CARTON BOX FOR TIME RELAY,123000,25000,111000,1142553,,keine
PAPERBOX 0426 1E 123X112X32 BL,123,32,112,1021949,50,1E
PAPER BOX 137X102X45,137,45,102,,,keine
PAPERBOX 1E 0426 123X113X48 P,123,48,113,9500417,42,1E
PAPERBIN 1E 0426 123X113X48 P,123,48,113,56587,42,1E
PAPERBOX 1E 0426 123X113X57 P,123,57,113,9051943,34,1E
PAPERBOX 0700 1E 123X100X111 BL,123,111,100,1037313,15,1E
PAPERBOX 0421 1E 124X127X31 P,124,31,127,1016561,50,1E
PAPERBOX 0426 1E 125X192X36 P,125,36,192,1029318,30,1E
PAPERBOX 0423 1E 124X88X49 P,124,49,88,1025177,53,1E
PAPERBOX 0426 1E 125X192X73 P,125,73,192,1029428,12,1E
PAPERBOX 0427 1B 125X110X80 SE,125,80,110,1016865,22,1B
PAPERBOX 0713 1B 126X126X115 S,126,115,126,1026015,12,1B
PAPERBOX 0471 1B 127X89X78 BL,127,78,89,1021028,26,1B
PAPERBOX 0713 1E 128X65X95 P,128,95,65,1020609,35,1E
PAPERBOX 1E 0421 129X54X30 BL,129,30,54,122548,96,1E
PAPERBOX 0426 130X108X32 BL,130,32,108,1029498,52,keine
PAPERBOX 0426 131X108X14 BL,131,14,108,1029497,108,keine
PAPERBOX 1E 0426 131X103X41 P,131,41,103,9501364,52,1E
PAPERBOX 0420 1E 131X103X41 BL,131,41,103,62234,52,1E
PAPERBIN 1E 0426 131X103X41 P,131,41,103,56583,52,1E
PAPERBOX 1F 0713 131X55X65 BL,131,65,55,9050465,54,keine
PAPERBOX 131X130X80,131,80,130,139873,17,keine
PAPERBOX 1E 0713 131X109X86 P,131,86,109,9501306,24,1E
PAPERBOX 0713 1E 131X109X86 BL,131,86,109,116601,24,1E
PAPERBIN 1E 0713 131X109X86 P,131,86,109,56565,24,1E
PAPERBOX 0713 1E 131X109X86 P,131,86,109,1034178,24,1E
PAPERBOX 130*110*22 12,130,22,110,9636028,,keine
PAPERBOX 0713 1E 132X122X52 BL,132,52,122,1026497,24,1E
PAPERBOX 0713 1E 130X85X73 BL,130,73,85,1036071,36,1E
PAPERBOX 0713 1B 132X99X98,132,98,99,1875598,,1B
PAPERBOX 0713 1B 132X81X103,132,103,81,1875597,,1B
RQ143873 - tbd,132000,103000,117000,1900080038,,keine
PAPERBOX 0713 1B 132X117X103,132,103,117,1875596,,1B
PAPERBOX 1E 0426 133X57X41 P,133,41,57,155116,78,1E
PAPERBOX 134X76X56,134,56,76,9625043,,keine
BOX 131 X 109 X 86,131,86,109,158191,24,keine
"PAPERBOX 0426 1E 136X103X23,5 P",136,23,103,1032855,78,1E
PAPERBOX 0427 1E 146X135X46 BL,146,46,135,1034078,25,1E
PAPERBOX 0421 1E 134X92X103 BL,134,103,92,1037328,15,1E
PAPERBOX 0421 1E 135X85X30 P,135,30,85,1031749,80,1E
PAPERBIN 1E 0713 85X135X70 P,85,70,135,56564,24,1E
PAPERBIN 1E 0713 115X135X75 P,115,75,135,56569,24,1E
PAPERBOX A2001 GZ1 WATERWORX,135000,135000,19000,168084,88,keine
PAPERBOX A2001 GZ1 TSVISIT,135000,135000,19000,198020,88,keine
PAPERBOX A2001 GZ1 AXOPCSERV,135000,135000,19000,153656,88,keine
PAPERBOX A2001 GZ1 AXWEB+,135000,135000,19000,153658,88,keine
PAPERBOX A2001 GZ1 CONFIG+,135000,135000,19000,153659,88,keine
PAPERBOX A2001 GZ1 DIAG+,135000,135000,19000,153660,72,keine
PAPERBOX A2001 GZ1 DIAG+NETSC,135000,135000,19000,153661,88,keine
PAPERBOX A2001 GZ1 FLVIEW,135000,135000,19000,153662,88,keine
PAPERBOX A2001 GZ1 NANONAV,135000,135000,19000,153664,88,keine
PAPERBOX A2001 GZ1 NETC@P,135000,135000,19000,153665,88,keine
PAPERBOX A2001 GZ1 PCWORX,135000,135000,19000,153666,88,keine
PAPERBOX A2001 GZ1 PCWORXEXPR,135000,135000,19000,153667,88,keine
PAPERBOX A2001 GZ1 PCWORXSRT,135000,135000,19000,153668,88,keine
PAPERBOX A2001 GZ1 PCWORXRT,135000,135000,19000,153669,88,keine
FALTSCH. A2001 GZ1 PORTICO,135000,135000,19000,153670,88,keine
PAPERBOX A2001 GZ1 PROJECT+,135000,135000,19000,153671,88,keine
PAPERBOX A2001 GZ1 RESY+,135000,135000,19000,153672,88,keine
PAPERBOX A2001 GZ1 SAFECONF,135000,135000,19000,153673,88,keine
PAPERBOX A2001 GZ1  SAFETYPROG,135000,135000,19000,153674,88,keine
PAPERBOX A2001 GZ1 SNMPOPC,135000,135000,19000,153675,88,keine
PAPERBOX A2001 GZ1 STARTUP+,135000,135000,19000,153676,88,keine
PAPERBOX A2001 GZ1 VISU+,135000,135000,19000,153677,88,keine
PAPERBOX A2001 GZ1 WEBVISIT,135000,135000,19000,153678,88,keine
PAPERBOX A2001 GZ1 PCWORXUA,135000,135000,19000,178921,88,keine
PAPERBOX A2001 GZ1 VISU+EXPR,135000,135000,19000,190036,88,keine
PAPERBOX A2001 GZ1 SNMP OPC SERVER,135000,135000,19000,1014893,88,keine
PAPERBOX 0423 1E 140X128X63.5 P,140,63,128,1029668,,1E
PAPERBOX 0423 1E 140X128X41.5 P,140,41,128,1029667,,1E
PAPERBOX 0713 1E 85X135X70 P,85,70,135,1030662,36,1E
PAPERBOX 0713 1E 115X135X75 P,115,75,135,1030663,24,1E
PAPERBOX 0426 1E 138X112X19 P,138,19,112,1029426,80,1E
PAPERBOX 1E 0426 138X112X44 P,138,44,112,9500048,36,1E
PAPERBOX 0713 1E 139X128X43 BL,139,43,128,1032846,26,1E
PAPER BOX 152X112X55,152,55,112,,,keine
PAPERBOX 0713 1E 139X128X50 BL,139,50,128,1032845,24,1E
PAPER BOX 139X113X56,139,56,113,177007,32,keine
